Randint,Question,Answer,Type,Section,Sub Section
7633,"- à¤¯à¤¾à¤¦ à¤°à¤¹à¥‡ à¤•à¥€ à¤…à¤—à¤° à¤¤à¥à¤®à¥à¤¹à¤¾à¤°à¥€ à¤œà¤¾à¤¨à¤¿à¤¬ à¤¸à¥‡ à¤•à¥‹à¤ˆ à¤­à¥€ à¤—à¤²à¤¤à¥€ à¤¹à¥à¤ˆ à¤¤à¥‹ à¤‡à¤¸à¤•à¥€ à¤¬à¤¹à¥à¤¤ à¤­à¤¾à¤°à¥€ à¤•à¥€à¤®à¤¤ à¤šà¥à¤•à¤¾à¤¨à¥€ à¤¹à¥‹à¤—à¥€ à¤¤à¥à¤®à¥à¤¹à¥‡ à¤…à¤°à¥à¤¤à¥à¤°à¥à¤²!
- à¤®à¥ˆ à¤¬à¤¹à¥à¤¤ à¤­à¤¾à¤°à¥€ à¤•à¥€à¤®à¤¤ à¤šà¥à¤•à¤¾à¤¨à¥‡ à¤•à¥‡ à¤¬à¤¾à¤¦ à¤¹à¥€ à¤¯à¤¹à¤¾à¤‚ à¤ªà¤¹à¥à¤‚à¤šà¤¾ à¤¹à¥‚à¤‚ à¤…à¤®à¥€à¤° à¤¸à¤†à¤¦à¤¤à¤¿à¤¨à¥¤ à¤…à¤¬ à¤‰à¤¸ à¤•à¥€à¤®à¤¤ à¤•à¥‹ à¤µà¤¸à¥‚à¤²à¤¨à¥‡ à¤•à¤¾ à¤µà¤•à¥à¤¤ à¤¹à¥ˆà¥¤",à¤…à¤°à¥à¤¤à¥à¤°à¥à¤²,fun,Series,
7634,Lesson one : Attack first. Never wait for enemy to attack. Striking first is the initial step towards victory.,Cobra Kai,fun,Series,
7635,Enemy deserves no mercy.,Cobra Kai,fun,Series,
7636,Just be thankful you're not a sumo wrestler. Those guys have to wipe their sensei's asses.,Cobra Kai,fun,Series,
7637,I don't care if Yasmine is the meanest girl at school. I'd kill both of you just to get her spit in my face.,Cobra Kai,fun,Series,
7638,You can't strike if you don't know how to strike.,Cobra Kai,fun,Series,
7639,The best defense â€” is more offense.,Cobra Kai,fun,Series,
7640,There's only one reason to hit someone â€” to inflict pain.,Cobra Kai,fun,Series,
7641,"Strike first. Strike hard. No mercy, Sir!",Cobra Kai,fun,Series,
7642,"- You really shouldn't make fun of someone's physical appearances.
- So I shouldn't mention his lips at all? Maybe that's what they teach you in school, but in the real world, you can't expect people to do what they're supposed to do?",Cobra Kai,fun,Series,
7643,Karate isn't all about punching and kicking â€” it's about balance.,Cobra Kai,fun,Series,
7644,"Cobra Kai is about strength â€” if you're not strong in the inside, you can't be strong on the outside.",Cobra Kai,fun,Series,
7645,Just like a Cobra I had to shed my loser skin to find my true power.,Cobra Kai,fun,Series,
7646,I may not always win but I never back out off a fight.,Cobra Kai,fun,Series,
7647,"The moment those tears gets off your eyes, you lose. And I dont teach losers.",Cobra Kai,fun,Series,
7648,You think winning the All Valley gives you the right to goof off? Well I got news for ya â€” Winning one championship don't mean squat. A true champion never stops training. You gotta keep moving forward. Or else you could get stuck exactly where you are.,Cobra Kai,fun,Series,
7649,Pathetic pack of pussies,Cobra Kai,fun,Series,
7650,Enough about self defense. Learn self offense.,Cobra Kai,fun,Series,
7651,"If you have anything worth biting, the fish will find you. You just gotta be patient. ",Cobra Kai,fun,Series,
7652,"If you've hate in your heart, then you've lost already.",Cobra Kai,fun,Series,
7653,I don't need a drink for pretending to be cool. (Robby Keene),Cobra Kai,fun,Series,
7654,"à¤µà¤¿à¤¨à¤¯ à¤œà¥€, à¤¹à¤®à¤¾à¤°à¥‡ à¤à¤• à¤‰à¤¸à¥à¤¤à¤¾à¤¦ à¤œà¥€ à¤¹à¥à¤† à¤•à¤°à¤¤à¥‡ à¤¥à¥‡ à¤«à¤¼à¥Œà¤œ à¤®à¥‡à¤‚. Brigadier à¤—à¥à¤°à¥ à¤«à¤¤à¥‡à¤¹ à¤¸à¤¿à¤‚à¤¹ à¤œà¥€ à¤¸à¥‡à¤–à¥‹. à¤•à¤¹à¤¤à¥‡ à¤¥à¥‡ ""à¤ªà¥à¤¤à¥à¤¤à¤°, à¤¬à¤‚à¤¦à¥‚à¤• à¤²à¥‡à¤¨à¥‡ à¤•à¥‡ à¤¬à¤¾à¤¦ à¤¯à¤¾à¤¦ à¤°à¤–à¤¨à¤¾. à¤œà¤¾à¤¨ à¤²à¥‡à¤¨à¥‡ à¤¸à¥‡ à¤ªà¤¹à¤²à¥‡ à¤¹à¤œà¤¼à¤¾à¤° à¤¬à¤¾à¤° à¤¸à¥‹à¤šà¤¨à¤¾, à¤²à¥‡à¤•à¤¿à¤¨ à¤œà¤¾à¤¨ à¤¬à¤šà¤¾à¤¨à¥‡ à¤¸à¥‡ à¤ªà¤¹à¤²à¥‡ à¤à¤• à¤¬à¤¾à¤° à¤­à¥€ à¤¨à¤¹à¥€à¤‚. ",IC814,fun,Series,
7655,Manliness is next to godliness.,Cobra Kai,fun,Series,
7656,"It may not seem brave, but sometimes avoiding conflict is one of the most heroic things a person can do. ",Cobra Kai,fun,Series,
7657,It's not good to carry secrets like this. They wear you down.,Cobra Kai,fun,Series,
7658,"- Kreese is brainwashing you, just like he brainwashed me.
- See, that's the difference between you and me. You put all your trust in Kreese. I don't trust anyone anymore. I'm just using Cobra Kai to get what I want.",Cobra Kai,fun,Series,
7659,"- From here on out, there'll be no more fighting until the tournament.
- Our enemies humiliate us, and we have to back down and take it?
- Of course not. We should always show our enemies no mercy. But there's a time to fight. No need to waste a punch if it's not gonna score a point. So if your enemies do something to mess with you or laugh in your face, Take all that anger and store it. You're gonna need it when the time comes. ",Cobra Kai,fun,Series,
7660,"- Where'd everybody go?
- The girls all wanted to go watch the Bridon kid practice basketball.
- But the girls like singing and dancing.
- No, I thing the girls just like that Bridon kid, no matter what he does. ",Southpark,fun,Series,
7661,"Cursing is a sign of a weak mind, and a weaker character. (Detective)",Reacher,fun,Series,
7662,"Guys with the kind of money and power Kliner wields, are rarely angels.",Reacher,fun,Series,
7663,"- How did KJ know about this?
- Kliners have money. Money buys access and information.",Reacher,fun,Series,
7664,"- You ever say anything?
- (Reacher) When I want to.",Reacher,fun,Series,
7665,Have the indignities of your childhood not yet sufficiently been avenged?,House of the Dragon,fun,Series,
7666,"- The crown. She spared it no thought.
- Well, that's perhaps why your brother gave the crown to her. Perhaps those who strive for it are the least suited to wear it. Viserys never wanted it himself, if you recall. It came to him, and he did his best. It's not a prize to be won, but a burden to bear. ",House of the Dragon,fun,Series,
7667,That was unbelievable. I've never felt like such a woman before.,Southpark,fun,Series,
7668,"Ike, you neef to have a life. Have fun. 'Then' ruin it by having a serious relationship.",Southpark,fun,Series,
7669,"If you dont mind my saying, I think you asked for this. You gave in to the manatees last week. Now all they have to do is refuse to work. And they can get whatever they want. You've spoiled them by caving in. Now they think they can walk all over you. ",Southpark,fun,Series,
7670,"Pulling an episode because somebody is offended starts a chain reaction. Soon, you'll have to pull more and more episodes until tbe show goes completely off the air. ",Southpark,fun,Series,
7671,"I know what you're thinking, Stan. You're thinking, you're gonna go tell Kyle. Look I knoa you think he's your best friend, but Kyle is a Jew rat. He has his Jew ethics, while he hoards his greedy Jew gold, and he'll Jew you out if you tell him about this.",Southpark,fun,Series,
7672,Toilet time is the last bastion of American Freedom.,Southpark,fun,Series,
7673,"Game on, Jew-boy! (Eric Cartman) ",Southpark,fun,Series,
7674,"Mr Slave, you're the most depraved, lewd, perverted slut I know. Can you teach me your secret fast? (Wendy)",Southpark,fun,Series,
7675,"- If everyone ditched me, why did you came?
- [Butters] Because I said I would. Oh God, I really am a dork ain't I? ",Southpark,fun,Series,
7676,"If the people of our new country are allowed to do whatever they wish, then some will support the war and some willl protest it. And that means that as a nation, we could go to war with whomever we wished but at the same time act like we didn't want to. If we allow the people to protest what the government does, then the country will be forever blameless. Think of it -- an entire nation founded on saying one thing and doing another. And we'll call that country the United States of America.",Southpark,fun,Series,
7677,"- Chef... I don't feel very metrosexual.
- Well, then don't buy into this fad, Kyle. Be who you are, not what's cool. ",Southpark,fun,Series,
7678,Our answer to the great question is the only logical one. Our science is great.,Southpark,fun,Series,
7679,"Let us not forget the great Richard Dawkins, who finally freed the world of religion long ago.",Southpark,fun,Series,
7680,"- Stan, are you okay?
- Yeah Dad. We're just rehearsing our band.
- I thought a group of Vietnamese people were having their intestines pulled out through their mouths.",Southpark,fun,Series,
7681,I want to get down on my knees and start pleasing Jesus. I want to feel his salvation all over my face.,Southpark,fun,Series,
7682,You're a Jew. Shut up your goddamn Jew mouth.,Southpark,fun,Series,
7683,"- [Kyle] How are yoy going to try to get invited to Casa Bonita this time?
- [Cartman] I'm not, Kyle. I know you already told Butters he could go. So fine, Kyle. But honestly, I never meant to make you feel like you didn't matter at all to me. I know we argue all the time and I give you tons of crap, but we have also been through a lot together. And maybe that alone doesn't make us friends, but it makes us something. ",Southpark,fun,Series,
7684,"[Mormon Family] Randy, the last thing we want is for people to think we're pushing our religion. We know there are a lot of beliefs out there, and ours just works for us. To each his own, right?",Southpark,fun,Series,
7685,"[Mormon Kid] I just wanted to let you know you don't have to worry about me trying to be your friend anymore. Look, maybe us Mormons do believe un crazy stories that makes absolutely no sense. And maybe Joseph Smith did make it all up. But I have a great life and a great family, and I have the Book of Mormon to thank for that. The truth is, I don't care if Joseph Smith made it all up, because what church teaches now is loving your family, being nice and helping people. And even though people in this town might think that's stupid, I still chose to believe in it. All I ever did was try to be your friend, Stan. But you're so high and mighty, you couldn't look past my religion and just be my friend back. You got a lot of growing up to do, buddy. Suck my balls. ",Southpark,fun,Series,
7686,"- [Kyle] Dude, how are we gonna move 23 cow calves to your house? 
- [Eric] I've got it! We could kill Butters and then float the calves on a river of blood.
- [Kyle] Don't be stupid Cartman. Butters doesn't have that much blood in him. ",Southpark,fun,Series,
7687,"[Doctor] He's very lucky you got him [Stan] here when you did. He's in a very advanced state of Vaginitis, where small pussies develops on the victim's body. It occurs when a person stops eating meat. If we hadn't stopped it in time, Stan would've eventually just become one great big giant pussy.",Southpark,fun,Series,
7688,"I'm Professor Chaos and this is my partner, General Disarray.",Southpark,fun,Series,
7689,"Tweek is right. It isn't fair for those asshole directors to keep changing their movies and making them different. Movies are art, and art shouldn't be modified. What if they had modified the Roman Colosseum every year?",Southpark,fun,Series,
7690,"- These are my movies. I made them. And I have the right to do whatever I want with them.
- You're wrong Mr. Lucas. They're not your movies. They're ours... all of ours. We paid to go see them and they're just as much a part of our lives as they're of yours. When an artist creates, whatever they create belongs to society.",Southpark,fun,Series,
7691,"- They called me a slut with a huge, gaping vagina.
- Oh sweetie, you're all just growing up. Part of being a woman is having a friend one day and calling her a slut the next week.",Southpark,fun,Series,
7692,"Look, us plastic surgeons have one philosophy â€” if we can help someone's self esteem a little, then why not do it, if they have	 $3000?",Southpark,fun,Series,
7693,"The poll right now shows that 51% Americans think Saddam has to be dealt with while 49% are wimpy, tree hugging pussies.",Southpark,fun,Series,
7694,"- But the museum tells us to be intolerant.
- Tolerant, but not stupid. Look, just because you have to tolerate something doesn't mean you've to approve of it. If you had to like it, it'd be called Museum of Acceptance. Tolerate means you're just putting up with it. You tolerate a crying child sitting next to you on the airplane or you tolerate a bad cold. It can still piss you off.",Southpark,fun,Series,
7695,"- I'm saying this to you John Edward. You're a liar, you're a fake, and you're the biggest douche ever.
- Everything I tell people is positive and gives them hope. How does that make me a douche?
- The big questions in life are tough â€” Why are we here? Where are we from? Where are we going? But if people believe douchy liars like you, we're never gonna find the real answer to those questions. You aren't just lying, you're slowing down the progress of all mankind, you douche. ",Southpark,fun,Series,
7696,"But, well, son, pot makes you feel fine with being bored, and it's when you're bored that you should be learning some new skill or discovering some new science or being creative. ",Southpark,fun,Series,
7697,"Kyle, we've gotta get that sand out of your vagina. It's making you cranky. Does it itch?",Southpark,fun,Series,
7698,"Swearing can be fun, but doing it all the time causes a lot of problems. We have to go back to only using curse words in rare, extreme circumstances. And besides, so much use of a dirty word takes away from its impact. We believe in free speech and all that, but leaving a few words taboo just adds to the fun of English.",Southpark,fun,Series,
7699,"[Jimmy] You know, sometimes people ask me, ""Are you angry at God for making disabled people?."" I say ""No, I think the world is better with President Bush.""",Southpark,fun,Series,
7700,"Listen up everyone. You don't need David Blaine to tell you how to live. You see, cults are dangerous because they promise you hope, happiness and maybe even an afterlife. But in return, they demand you pay money. Any religion that requires you to pay money in order to move up and learn its tenets is wrong. You see, all religions have something valuable to teach, but just like the Super Best Friends learned, it requires a little bit of them all. ",Southpark,fun,Series,
7701,"It's an Afghani goat so it can't stay here, or else it will choke on the sweet air of freedom.",Southpark,fun,Series,
7702,"- Your country is the evil empire. Your government wants to rule the world. But your values and spirituality are in the gutter.	
- Then why did you send us a goat?
- Because in Afghanistan we have pride. If you send something, we must send something in return. It doesn't mean we don't still hate you.",Southpark,fun,Series,
7703,"Y'know if you've completely lost your sense of humor, you can always become a writer for the show 'Friends.'",Southpark,fun,Series,
7704,"This is unbelievable! You know, I seem to remember when the airlines said 'we need $15 bn bailout from the taxpayers.' Well, we gave them the $15 bn and they fired their employees anyway, so now we have three people to clear 400 passengers! So where did that money go? I'll tell you where it went! It went right into the pockets of the presidents and CEOs of the airlines so they could keep their million dollar salaries. ",Southpark,fun,Series,
7705,"Dude, just because we rip on you for being rich doesn't mean we don't like you. Yeah, we are guys, dude. We find something about all our friends to rip on. We make fun of you for being rich. Just like we make fun of Butters for being wimpy and just like Kyle for being a Jew.",Southpark,fun,Series,
7706,"à¤•à¤¨à¤ªà¤Ÿà¥à¤Ÿà¥€ à¤à¤¸à¥€ à¤¸à¥à¤¨à¥à¤¨ à¤•à¤°à¥‚à¤‚à¤—à¥€ à¤¨, à¤¬à¤¹à¤°à¤¾à¤ªà¤¨ à¤µà¤°à¤¦à¤¾à¤¨ à¤²à¤—à¥‡à¤—à¤¾ ",à¤®à¤¾à¤®à¤²à¤¾ à¤²à¥€à¤—à¤² à¤¹à¥ˆ,fun,Series,
7707,Battles aren't reserved for the battlefield.,Cobra Kai,fun,Series,
7708,Feelings of the weak are beyond me. The world is ruled by one law : Survival of the fittest. The weak face natural selection.,Akame ga Kill,fun,Anime,
7709,"Well, you cant hurry love.",Akame ga Kill,fun,Anime,
7710,Its only natural for the weak to die out.,Akame ga Kill,fun,Anime,
7711,"The more danger I'm in, the more damage I do.",Akame ga Kill,fun,Anime,
7712,"I like surprise attacks, but I hate being on the receiving end.",Akame ga Kill,fun,Anime,
7713,"No matter how sturdy something may appear, it will usually have a weakness.",Akame ga Kill,fun,Anime,
7714,Cowardice is a vital survival skill for an assassin.,Akame ga Kill,fun,Anime,
7715,Panicking leads to an early grave.,Akame ga Kill,fun,Anime,
7716,"Once evil has tainted you, deathy is the only solution.",Akame ga Kill,fun,Anime,
7717,"That's exactly what Najenda would do. She fights calmly, but her heart burns with fervor.",Akame ga Kill,fun,Anime,
7718,"dore dake no chi to namida wo nagashitemo
(No matter how much blood and tears I will have to shed)
inoru you ni kisisaite
(Combat will be my religion)	",Akame ga Kill,fun,Anime,
7719,"Wrong or not, I'll follow my own path.",Akame ga Kill,fun,Anime,
7720,"What are we fighting for? If you can't answer that for yourself, you have no business holding a weapon. Only those who have steeled themselves have the right to weild a blade.",Akame ga Kill,fun,Anime,
7721,What impressive determination! Your wisdom is a testament to your greatness.,Akame ga Kill,fun,Anime,
7722,What is right and wrong is a question for future historians.,Akame ga Kill,fun,Anime,
7723,Protecting the powerless is a soldier's duty.,Akame ga Kill,fun,Anime,
7724,"Those without strength shouldn't have hopes and dreams. Lie down and die before me, like a pig should.",Akame ga Kill,fun,Anime,
7725,"Where there's life, there is darkness.								
Where there is darkness, there is evil.								
For the sake of those who cannot fight,								
we judge the evildoers that heaven cannot								
and punish them in shadows.								
We are the assassins.								",Akame ga Kill,fun,Anime,
7726,Is your life so important to you that you'd be willing to spend the rest of it stuck here?,School-live,fun,Anime,
7727,"Its important to think and map things out, but sometimes, things like that'll get you nowhere.",School-live,fun,Anime,
7728,"Isn't it [book] like a letter from people long ago? From about 800 years in the past, yeah. I'd say it's more like an essay. 800 years! Isn't it amazing how we can read what people felt 800 years ago?",School-live,fun,Anime,
7729,"Someone, somewhere, always survives.",School-live,fun,Anime,
7730,"Stay calm, but act fast.								
Don't lose your head, but hurry.								",School-live,fun,Anime,
7731,"If I dont act now, I'll lose everything that's dear to me.",School-live,fun,Anime,
7732,"Sorry, Keiichi-kun, but it's Club Rule #2: ""Always strive for victory with everything you've got!""",The Promised Neverland,fun,Anime,
7733,"Kei-chan, remember the board game tournament? When you gave me that doll? You treated me like a girl... and that made me happy. I love you, Kei-chan.",The Promised Neverland,fun,Anime,
7734,Hatred can't stop once it's begun. And it's a chain of hatred that you can't do anything about.,The Promised Neverland,fun,Anime,
7735,I'm stopping the annihilation. I don't know if it really is the right thing to do. But I want to choose a future I won't regret.,The Promised Neverland,fun,Anime,
7736,Dont mess with him unless you consider your head to be a superflous attachment.,Kabenari of the Iron Fortress,fun,Anime,
7737,"About what you said earlier.
We really are weak, Mumei.
But...
that doesnt mean we have to just roll over and accept our fate.",Kabenari of the Iron Fortress,fun,Anime,
7738,"We humans are miserable creatures.
We reject what we fear.
We attack what we dont understand.
Human cowardice... breaads war.",Kabenari of the Iron Fortress,fun,Anime,
7739,Dont mess with him unless you consider your head to be a superflous attachment.,Kabenari of the Iron Fortress,fun,Anime,
7740,But the real fight begins when the tears dry up.,Kabenari of the Iron Fortress,fun,Anime,
7741,"You must now grow overconfident, Mumei. Those who underestimate their enemies do not last long in this world. Death often comes swiftly, and without warning.",Kabenari of the Iron Fortress,fun,Anime,
7742,Excessive information breeds needless fear.,Kabenari of the Iron Fortress,fun,Anime,
7743,I want to move my body right now. Id feel restless if I just stood still.,Kabenari of the Iron Fortress,fun,Anime,
7744,"When someone is hated and people refuse to accept his existence, he sees it in the eyes of the people around him.",Naruto,fun,Anime,
7745,Naruto... He's at the center of trouble as usual.,Naruto,fun,Anime,
7746,"A Ninja must see through deception... In the world of Ninja, those who break rules and codes are branded as garbage...but those who don't cherish their friends are garbage worse than that",Naruto,fun,Anime,
7747,"You saw it, didn't you? His hand. That Bushy Brow probably did a heck of a lot special training. Day after day. More than you have. ",Naruto,fun,Anime,
7748,"- You want me to eke out some pathetic life until I die?
- How does that even count as living? ",Attack on Titan,fun,Anime,
7749,"This fortress will be last bastion left to humanity. The pressure weighing down on your shoulders is immeasurable. But no mattet the result, the responsibility doesn't lie solely with you. The responsibility for this lies with all of us adults. We took advantage of hate... instilled and fostered it... believing it'd bring us salvation. All the problems arising from our faults we dumped onto the ""Island of Devils"". As a result, that monster was born, and now it's marching our hatred right back toward us. ",Attack on Titan,fun,Anime,
7750,"A man shouldn't whine. No matter what hardship you face, bear it in silence. Like a real man.",Demon Slayer,fun,Anime,
7751,"All you did was memorise it. You learned it as knowledge. Your body had no idea what it's supposed to do. What the hell have you been doing for the past year and a half? Carve it into your flesh! More! Never forget the secrets Master Urokodaki taught you! Pound it into the marrow of your bones! Advance! If you're a man! If you call yourself a man, your only choice is to advance! Come at me! Show me what you're truly capable of. ",Demon Slayer,fun,Anime,
7752,"Mokomo is a bit of a strange girl. She speaks in such a fluffy, dreamy way. ",Demon Slayer,fun,Anime,
7753,"- [Mokomo] Total Concentration Breathing. It accelerates your blood flow, which makes your heart race. Your body becomes boiling hot and you become as strong as a demon. The important thing is to expand your lung caoacity. When you bring lots and lots of air into your blood, your blood gets excited. This makes your bones and muscles, like heat up and make you a lot stronger. 
- How do I do that?
- Train to death. At the end of the day, I don't think there's much else you can do. ",Demon Slayer,fun,Anime,
7754,"Commandment One - Those who call themselves Hunter should always be on hunt, hunt of thier prey. Hunt involves both Hunter and Prey. It is a battle of resolve.",Hunter x Hunter,fun,Anime,
7755,"Commandment Four - A Hunter may never target another Hunter. However, this doesn't applies to Hunters who commit henious criminal acts.",Hunter x Hunter,fun,Anime,
7756,"The word ""unknown"" holds magic. And some incredible people are drawn to that magic. They're known as Hunters.",Hunter x Hunter,fun,Anime,
7757,I do not fear death. I only fear that my rage will fade overtime.,Hunter x Hunter,fun,Anime,
7758,"There are more reasons that your brain can possibly handle, Leorio.",Hunter x Hunter,fun,Anime,
7759,"You can't buy class with money, Leorio.",Hunter x Hunter,fun,Anime,
7760,"If you want to know someone better, understand what makes them angry.",Hunter x Hunter,fun,Anime,
7761,Gon's behaviour interests me more than Captain's advice.,Hunter x Hunter,fun,Anime,
7762,You must be prepared to face worst possible scenerios. Because harsh reality strikes without warning.,Hunter x Hunter,fun,Anime,
7763,I'm not really interested in becoming a hunter. I heard that exam is really tough. I thought it'd be fun.,Hunter x Hunter,fun,Anime,
7764,Nature can be brutal to watch.,Hunter x Hunter,fun,Anime,
7765,Hunters require prey.,Hunter x Hunter,fun,Anime,
7766,We cannot afford to squander time in a pointless fight.,Hunter x Hunter,fun,Anime,
7767,It's quite common that those possessing special talents are drawn to others with unique gifts.,Hunter x Hunter,fun,Anime,
7768,"I was so scared. I wanted to run away. But I couldn't. At the same time, I was excited. Isn't it amazing?",Hunter x Hunter,fun,Anime,
7769,Now you've experienced the joy of discovering how good something can taste. We're risking our lives for that joy.,Hunter x Hunter,fun,Anime,
7770,I'm from the family of assassins. So they're all assassins. And my family has really high hopes from me. But I can't stand it. Who wants to have thier life planned out for them?,Hunter x Hunter,fun,Anime,
7771,It's fun. And there haven't been any written examinations I was dreading.,Hunter x Hunter,fun,Anime,
7772,"When somebody feels they have no say, and thier opinions are constantly rejected, the group breaks down.",Hunter x Hunter,fun,Anime,
7773,That scars merely shows that you were an incompetent examiner. You blaming me for your own inadequacies.,Hunter x Hunter,fun,Anime,
7774,A gambler who focuses to avoid loss can never win.,Hunter x Hunter,fun,Anime,
7775,"When somebody loses confidence, they crave reassurance.",Hunter x Hunter,fun,Anime,
7776,"I don't intend to use him. However, Hunter Exam has no mercy. If he dies here, it's fate.",Hunter x Hunter,fun,Anime,
7777,"Man, you kids don't have a care in the world.",Hunter x Hunter,fun,Anime,
7778,A friend today may become a foe tomorrow.,Hunter x Hunter,fun,Anime,
7779,That scares me. But I think it's worth it.,Hunter x Hunter,fun,Anime,
7780,I have to aim tha target when he is hunting its own prey.,Hunter x Hunter,fun,Anime,
7781,"- You don't even know who your target is do you?
- No
- Do you want me to tell you?
- No, I just find 3 others to kill.",Hunter x Hunter,fun,Anime,
7782,It's your own fault to let us trick you.,Hunter x Hunter,fun,Anime,
7783,You're already dead. It's in your eyes.,Hunter x Hunter,fun,Anime,
7784,You should cease pittying the enemies who serve no purpose.,Hunter x Hunter,fun,Anime,
7785,"- How am I supposed to find her on this big island? Walking around is just a waste of energy.
- Just whining about things is even greater waste of energy.",Hunter x Hunter,fun,Anime,
7786,"You practiced, but you didn't considered your own surroundings. Next time, remember to watch your own back.",Hunter x Hunter,fun,Anime,
7787,"As of now, I'm keeping you alive. And I'll continue to keep you alive until you're grown enough to be worth killing.",Hunter x Hunter,fun,Anime,
7788,Gon defies reason.,Hunter x Hunter,fun,Anime,
7789,I'm going to rescue Killua as soon as humanly possible.,Hunter x Hunter,fun,Anime,
7790,"Oh, Morning Bro. What time is it? I'm feel really bad about stabbing you. Was that a wrong thing to do? (Killua)",Hunter x Hunter,fun,Anime,
7791,Tsk... Lame. (Killua),Hunter x Hunter,fun,Anime,
7792,"You are my son.  But you're also your own person. Live as you please. If you get tired, you can come home.",Hunter x Hunter,fun,Anime,
7793,"- How can I determine who is better than me in terms of Strength?
- Stronger someone is, better they are at hiding that strength. Although you shouldn't always rely on this method.",Hunter x Hunter,fun,Anime,
7794,Aura is the energy that comes from within the humans.,Hunter x Hunter,fun,Anime,
7795,I may not win tomorrow. But that's okay.,Hunter x Hunter,fun,Anime,
7796,"The real exam, has only just begun.",Hunter x Hunter,fun,Anime,
7797,He has unimaginable regenative power. (Gon),Hunter x Hunter,fun,Anime,
7798,"If you continue to run in circles, you'll never learn the truth. (Kastro)",Hunter x Hunter,fun,Anime,
7799,Dopelganger - when you find someone who resembles you,Hunter x Hunter,fun,Anime,
7800,He doesn't associate with others. He is his own man. Because he believes him to be the strongest.,Hunter x Hunter,fun,Anime,
7801,Not Killing people is pretty hard. Clean living is tough.,Hunter x Hunter,fun,Anime,
7802,"You should follow the rules. Without them, we'll be the one who will reap the benefits.",Hunter x Hunter,fun,Anime,
7803,"If you're willing to do whatever it takes, I won't hold back!",Hunter x Hunter,fun,Anime,
7804,"Enhancers are simple and earnest.
Transmuters are fickle and dishonest.
Emmiters are short tempered
Specialists are independent
Conjurers are high strung
Manipulators are argumentative",Hunter x Hunter,fun,Anime,
7805,Don't you ever feel embarrassed by saying all that stuff?,Hunter x Hunter,fun,Anime,
7806,Hunters are selfish creatures. They're willing to sacrifice anything to get what they want.,Hunter x Hunter,fun,Anime,
7807,"I guess by the time you hear this tape, 10 years would have changed. But one hasn't changed. I am still me.",Hunter x Hunter,fun,Anime,
7808,Was that punch... best you've got?,Hunter x Hunter,fun,Anime,
7809,"Uvo never admitted it, but he prefered having someone to protect.",Hunter x Hunter,fun,Anime,
7810,You can't use logic against Enhancers.,Hunter x Hunter,fun,Anime,
7811,Now you sound like yourself Killua. It's my job to say crazy stuff. Your job is to stay cool and stop me.,Hunter x Hunter,fun,Anime,
7812,I refuse to work for nothing and die for nothing.,Hunter x Hunter,fun,Anime,
7813,"I don't care who I kill right now, even if it's you.",Hunter x Hunter,fun,Anime,
7814,My power is the work of pure hatred. It works only on spiders.,Hunter x Hunter,fun,Anime,
7815,"My orders are your top priority.
However, I am not your top priority.
Our goal is not to keep an individual alive.
But the spider.
Never forget that.",Hunter x Hunter,fun,Anime,
7816,"- Why didn't you run?
- Because we're his friends. That's why we don't want him to kill.",Hunter x Hunter,fun,Anime,
7817,"- Why do you want it so much?
-  It is an expression of love. Isn't desire to monopolize something you love natural?",Hunter x Hunter,fun,Anime,
7818,You don't need to emulate anyone else when you're already so strong.,Hunter x Hunter,fun,Anime,
7819,People who act smart usually fail.,Hunter x Hunter,fun,Anime,
7820,"[for Killua and Gon] Honestly, those kids are scary.",Hunter x Hunter,fun,Anime,
7821,"Gon.   - I'm gonna play this game on my own.
Killua - You heard the leader. I'm out too.",Hunter x Hunter,fun,Anime,
7822,"Killua, denizen of darkness. He has returned much stronger.",Hunter x Hunter,fun,Anime,
7823,After lying for 50 years I can identify a fellow liar.,Hunter x Hunter,fun,Anime,
7824,I won't settle for a cheap win. We have to utterly destroy him.,Hunter x Hunter,fun,Anime,
7825,Good hunters are liked by animals.,Hunter x Hunter,fun,Anime,
7826,You don't understand... Humans' strength lies in thier ability to learn. (Peggy),Hunter x Hunter,fun,Anime,
7827,"Whether we win or lose, hell lies ahead of us. (Kite)",Hunter x Hunter,fun,Anime,
7828,"At now, we may not be strong enough to defeat them. But now we are armed with the ability to learn.",Hunter x Hunter,fun,Anime,
7829,"Whenever humans encounter unknown, they tend to lose perspective.",Hunter x Hunter,fun,Anime,
7830,We must be strong enough to defeat enemies we know nothing about.,Hunter x Hunter,fun,Anime,
7831,"Truth is, we cannot overcome everything with willpower.",Hunter x Hunter,fun,Anime,
7832,We don't want your token. We want the strength to defeat you in a straight up fight.,Hunter x Hunter,fun,Anime,
7833,Habits that are burnt into your body and soul are not easy to break.,Hunter x Hunter,fun,Anime,
7834,Killua's overly cautious style is the product of smothering love.,Hunter x Hunter,fun,Anime,
7835,I never knew... how frustrating... weakness could be.,Hunter x Hunter,fun,Anime,
7836,Think as hard as those weak brains of yours can manage.,Hunter x Hunter,fun,Anime,
7837,"Don't worry, I could dodge a knife in my sleep. (Killua Zoldyck)",Hunter x Hunter,fun,Anime,
7838,I'd rather rather to listen to someone I don't like.,Hunter x Hunter,fun,Anime,
7839,Crushed to death. An appropriate death for a bug.,Hunter x Hunter,fun,Anime,
